1000 1000
181 594 68
137 191 50
89 207 90
171 868 74
745 268 16
448 75 61
601 259 67
742 246 32
771 955 52
517 409 78
914 482 92
577 548 65
471 830 92
133 139 5
672 27 72
913 649 69
946 911 46
647 143 0
336 307 96
218 974 16
549 871 2
60 554 99
307 303 4
539 94 36
150 639 52
215 184 44
862 992 78
102 16 12
558 718 16
93 201 16
998 65 39
370 693 36
893 68 73
787 61 47
337 510 77
117 569 5
666 746 92
544 512 19
191 12 79
744 709 14
312 540 40
462 226 65
783 624 84
161 794 84
107 709 35
241 390 96
533 782 94
696 578 49
201 757 92
987 971 15
305 424 63
383 689 96
780 945 67
107 191 17
899 895 74
272 737 84
987 727 63
978 807 8
546 355 87
460 81 55
113 53 6
80 924 44
108 258 73
30 775 77
566 237 63
464 785 46
46 183 98
739 444 4
530 159 26
894 232 17
109 834 82
934 413 67
321 947 13
345 562 40
781 319 81
60 338 31
944 801 20
474 518 19
862 141 74
865 623 46
70 503 85
169 209 20
134 316 53
141 680 37
551 831 78
255 396 94
593 123 72
814 945 6
370 691 8
420 588 18
613 180 67
435 523 63
987 174 73
271 555 69
130 925 31
955 641 91
683 840 15
740 749 82
966 773 68
488 186 94
916 901 59
38 5 64
526 57 19
620 865 56
449 339 38
130 935 60
104 9 98
85 712 32
562 319 7
661 583 81
197 987 77
200 299 22
270 299 2
475 814 57
195 275 6
424 728 28
178 997 1
467 925 70
784 476 60
402 299 25
119 895 31
59 555 42
291 695 57
702 703 72
112 111 19
277 186 96
844 958 56
628 993 57
977 618 4
187 806 75
188 869 11
929 783 97
835 186 88
45 493 28
94 789 16
228 533 96
84 953 87
173 787 23
284 45 52
882 895 79
597 553 44
941 709 79
230 486 24
642 786 37
676 562 14
701 510 21
749 10 78
965 660 9
104 424 54
996 951 5
485 569 28
302 332 73
140 846 70
97 7 32
416 185 61
531 556 98
963 954 50
774 147 28
703 273 46
957 986 23
826 951 63
369 112 1
555 2 52
449 838 7
444 193 47
143 492 52
170 82 43
124 293 24
215 281 89
334 947 83
973 844 46
357 635 70
812 429 3
518 157 89
174 136 94
857 711 10
60 579 86
469 149 89
998 996 70
776 777 28
919 610 39
861 157 34
515 437 17
360 206 59
983 261 22
964 734 84
280 990 15
243 956 96
361 789 41
726 892 26
511 922 55
962 424 65
404 962 95
18 838 0
273 328 78
998 227 66
507 830 54
647 356 81
326 227 65
662 413 67
461 78 23
705 786 31
519 108 88
666 897 20
940 798 24
253 490 87
416 135 65
187 8 25
659 992 78
230 918 99
859 918 73
797 346 13
449 745 2
179 987 1
575 820 47
754 135 66
475 616 34
606 738 91
672 336 56
581 779 88
830 660 79
298 152 10
127 949 84
632 591 76
682 64 81
769 134 89
313 444 5
778 395 32
195 38 63
177 499 11
885 438 5
312 473 13
450 893 30
386 998 35
303 281 26
902 133 81
745 65 59
789 576 56
